ParentContainer,Name,FirstName,LastName,Office,Title,Description,Department ,Company,City,State,UserPassword,SamAccountName,UserPrincipalName,DisplayName
JVargas.local/cala/Administracion,Teresa Vich,Teresa,Vich,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,New York,123qweASD,tvich,tvich@JVargas.local,Teresa Vich
JVargas.local/cala/Administracion,Pere Mut,Pere,Mut,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,pmut,pmut@JVargas.local,Pere Mut
JVargas.local/cala/Administracion,Laura Amoros,Laura,Amoros,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,lamoros,lamoros@JVargas.local,Laura Amoros
JVargas.local/cala/Administracion,Jessica Gemstone,Jessica,Gemstone,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,jgemstone,jgemstone@JVargas.local,Jessica Gemstone
JVargas.local/cala/Administracion,Toni Vicens,Toni,Vicens,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,tvicens,tcvicents@JVargas.local,Toni Vicens
JVargas.local/cala/Administracion,Adrian Aguado,Adrian,Aguado,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,aaguado,aaguado@JVargas.local,Adrian Aguado
JVargas.local/cala/Administracion,Cloe Sanz,Cloe,Sanz,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,csanz,csanz@JVargas.local,Cloe Sanz
JVargas.local/cala/Administracion,Angela Vives,Angela,Vives,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,avives,avives@JVargas.local,Angela Vives
JVargas.local/cala/Administracion,Josep Guitar,Josep,Guitar,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,jguitar,jguitar@JVargas.local,Josep Guitar
JVargas.local/cala/Administracion,Carmen Garcia,Carmen,Garcia,Administracion,Administracion,Inform tica,Dep administracion,Cala,Palma,Balears,123qweASD,cgarcia,cgarcia@JVargas.local,Carmen Garcia
